서울/경기,시/군/구,동,리,번지,사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값,위도,경도
경기도,수원팔달구,인계동,,1038-2,스타벅스수원인계점,영업,201209,203001,202847.255175582,418176.830110684,37.2655359379,127.0329098973
경기도,수원영통구,이의동,,1240,스타벅스커피 광교이마트점,영업,201508,203001,204159.790041271,421622.575799907,37.2963728697,127.0469017985
경기도,수원영통구,이의동,,1332,스타벅스커피 수원광교,영업,201505,203001,204409.226022404,420967.617798492,37.2915640479,127.0504732206
경기도,수원영통구,망포동,,38-23,스타벅스커피 수원망포디티점,영업,201511,203001,204485.542318134,415997.234308927,37.2458756975,127.0513536135
경기도,수원팔달구,인계동,,1019,스타벅스커피 수원인계DT점,영업,201409,203001,202408.837145502,418444.604865334,37.2679320219,127.0279550823
경기도,수원팔달구,우만동,,153-20,스타벅스커피동수원DT점,영업,201509,203001,202922.889449892,419577.530817874,37.2781399582,127.0335539519
경기도,수원영통구,망포동,,322-3,스타벅스커피수원망포역점,영업,201304,203001,204894.596571785,415913.666015514,37.2451623291,127.0558002667
경기도,수원영통구,신동,,507-1,스타벅스커피수원트레이더스점,영업,201408,203001,960159.8500352053,1916148.6846993002,37.2461087859,127.048646153
경기도,수원팔달구,인계동,,1132-12,스타벅스커피코리아 수원이비스(IBIS)점,영업,201502,203001,202711.35924603,417476.017840307,37.2592288794,127.031313641
경기도,시흥시,정왕동,,1738-6,스타벅스 커피 시화로데오점,영업,201210,203001,176656.503663183,426991.783820639,37.3446738855,126.7373343117
경기도,시흥시,정왕동,,1772-28,스타벅스배곧신도시점,영업,201801,203001,932025.4242128258,1929989.3699118881,37.3692258093,126.7301741831
경기도,시흥시,정왕동,,1771-31,스타벅스배곧아브뉴프랑점,영업,202001,203001,931913.4250289121,1929877.3673432183,37.3682081085,126.7289197215
경기도,시흥시,능곡동,,871,스타벅스시흥능곡역점,영업,202204,203001,182864.742763587,429902.071373508,37.3710186339,126.8072928232
경기도,시흥시,대야동,,501-3,스타벅스시흥대야DT,영업,202001,203001,181142.009201749,437752.466253138,37.4417134742,126.7877292347
경기도,시흥시,대야동,,546-1,스타벅스시흥대야동점,영업,202004,203001,181513.941234036,437742.733728866,37.4416303808,126.7919013699
경기도,시흥시,대야동,,532-1,스타벅스시흥대야점,영업,201710,203001,181414.40198377,437998.763759701,37.4439490409,126.7907603419
경기도,시흥시,조남동,,651,스타벅스시흥목감DT점,영업,202012,203001,186661.789838316,430651.591709491,37.3779763471,126.8500140178
경기도,시흥시,월곶동,,1008,스타벅스시흥월곶점,영업,202111,203001,176827.522044341,431957.558237848,37.3892864167,126.7393452427
경기도,시흥시,은행동,,646-4,스타벅스시흥은계점,영업,202008,203001,182377.715606346,437291.014671068,37.4375240428,126.8016387672
경기도,시흥시,장곡동,,260-21,스타벅스시흥장현점,영업,202207,203001,181268.875221092,430651.776551747,37.3782036814,126.7892564912
경기도,시흥시,정왕동,,1772-7,스타벅스시흥프리미엄아울렛1층점,영업,201704,203001,932644.4115346789,1931146.3883885604,37.3796992102,126.7370588161
경기도,시흥시,정왕동,,1772-7,스타벅스시흥프리미엄아울렛3층점,영업,201704,203001,932644.4115346789,1931146.3883885604,37.3796992102,126.7370588161
경기도,안산상록구,사동,,1639,스타벅스,폐업,201210,201210,185029.298232779,419781.472977914,37.2805095,126.8321313
경기도,안산단원구,고잔동,,533-1,스타벅스 안산고잔센트럴타워점,영업,201806,203001,185238.250233791,424118.821105048,37.3189568369,126.8342480722
경기도,안산단원구,고잔동,,771-3,스타벅스 안산문화광장,영업,201311,203001,184925.818678247,423160.666992721,37.3101756305,126.8307369519
경기도,안산상록구,이동,,721,스타벅스 안산삼성프라자,영업,202110,203001,186443.448620029,422699.708409701,37.306350325,126.8478777189
경기도,안산단원구,고잔동,,519-1,스타벅스 안산상공회의소점,영업,201710,203001,184541.48023096,424099.90238406,37.318939487,126.8264043954
경기도,안산단원구,고잔동,,539-1,스타벅스 안산중앙점,영업,201309,203001,185537.345,424095.65,37.318732414,126.8376245833
경기도,안산상록구,이동,,715-2,스타벅스 안산한대앞역,영업,201309,203001,186743.469779199,422970.934105798,37.3086493157,126.8512432313
경기도,안산상록구,사동,,1569-1,스타벅스 안산한양대,영업,201308,203001,185588.537243337,422112.786810636,37.300951655,126.8382431744
