사업장명,영업상태,개업일자,폐업일자,X좌표값,Y좌표값
스타벅스커피평택송탄점,영업,201305,202301,205528.05812306,396087.120862705
스타벅스평택고덕점,영업,202201,202301,204461.989818004,393162.93349942
스타벅스평택대DT점,영업,202012,202301,211916.177771608,387974.923255117
스타벅스평택비전점,영업,201906,202301,210072.869932937,388588.911600578
스타벅스평택이충DT점,영업,202206,202301,206780.592743104,394489.094417633
스타벅스 광릉수목원점,영업,202302,202301,214477.78080916,474932.752933426
스타벅스 포천DT점,영업,201712,202301,214164.747276289,482885.558835232
스타벅스 포천호국로DT,영업,202210,202301,211162.350912133,477066.216353813
스타벅스커피 포천송우점,폐업,201307,202107,212661.921521677,480541.371992697
스타벅스 미사역그랑파사쥬점,영업,202203,202301,216873.670459282,451296.310681802
스타벅스 미사역파라곤스퀘어점,영업,202203,202301,217057.174856799,451355.879802577
스타벅스 미사역효성점,영업,201906,202301,216753.071849967,451631.467982946
스타벅스 스타필드위례 1FR,영업,201812,202301,213056.041875501,441993.377546086
스타벅스 스타필드하남 1F(티바나),영업,201608,202301,219699.010520355,449270.371200837
스타벅스 스타필드하남2FR,영업,201608,202301,219699.010520355,449270.371200837
스타벅스 신세계하남 2F,영업,201608,202301,219699.010520355,449270.371200837
스타벅스 하남감일점,영업,202210,202301,213626.321165845,445022.753828606
스타벅스 하남덕풍점,영업,201908,202301,218415.483230535,450017.863681063
스타벅스 하남미사DT점,영업,201907,202301,216346.679158009,450872.911284109
스타벅스 하남미사점,영업,201704,202301,,
스타벅스 하남시청역점,영업,202112,202301,218315.123637968,448815.508568607
스타벅스 하남시청점,영업,201402,202301,219015.87199809,448715.201489108
스타벅스 하남풍산역,영업,202104,202301,218126.795434192,450160.062495149
스타벅스 하남황산사거리점,영업,202005,202301,216397.787744469,449859.673405934
스타벅스커피 하남신장점,영업,201501,202301,217957.626532961,448477.113699633
스타벅스 동탄IX타워점,영업,202201,202301,207902.474796614,412102.059482355
스타벅스 동탄광장점,영업,201302,202301,206325.039007167,411418.618291691
스타벅스 동탄디엠시티점,영업,202107,202301,208773.208500488,412073.497774566
스타벅스 동탄라크몽점,영업,202208,202301,209267.831935403,407233.52541514
스타벅스 동탄목동점,영업,202103,202301,,
스타벅스 동탄신리천공원점,영업,202303,202301,209457.545619778,409105.258051134
스타벅스 동탄역롯데R점,영업,202108,202301,208569.642431686,410949.263462028
스타벅스 동탄역점,영업,201709,202301,208653.400820319,410681.676205656
스타벅스 동탄영천점,영업,201606,202301,,
스타벅스 동탄이마트,영업,200712,202301,207005.769592372,412503.434111401
스타벅스 동탄카림R,영업,201807,202301,210075.319585403,410817.645865226
스타벅스 동탄타임테라스,영업,202203,202301,206044.332509042,411453.905695269
스타벅스 동탄트레이더스점,영업,202206,202301,208551.191176942,410187.304225812
스타벅스 동탄호수공원점,영업,202008,202301,209253.387443815,407725.114639407
스타벅스 송산그린시티점,영업,202008,202301,,
스타벅스 신영통DT,영업,201512,202301,205520.078681125,414724.177814318
스타벅스 화성남양DT점,영업,202206,202301,183879.655682348,411692.313404461
스타벅스 화성병점DT,영업,201612,202301,203320.477247236,412313.501392725
스타벅스 화성봉담점,영업,201912,202301,195981.658924287,413019.62479955
스타벅스 화성시청점,영업,201908,202301,184486.375460274,411022.505880841
스타벅스 화성안녕DT점,영업,202108,202301,201076.387418514,411195.74017978
스타벅스 화성향남DT점,영업,202209,202301,191959.151232041,403378.757366491
스타벅스 화성향남발안DT점,영업,202304,202301,194705.97404951,403523.673902937
스타벅스 화성향남점,영업,201902,202301,193066.824363729,403323.990750615
스타벅스동탄능동DT점,영업,201806,202301,204678.970094405,412243.162527244
스타벅스동탄센트럴파크,영업,201501,202301,205603.594214491,411828.297147152
스타벅스커피동탄점,영업,201305,202301,206425.845143288,411085.292886874
스타벅스화성반월DT점,영업,202006,202301,205074.291305612,413147.918261858
스타벅스화성봉담DT점,영업,202009,202301,197417.32016998,414048.315452068
스타벅스화성향남2지구점,영업,202106,202301,192012.658168745,401627.876324313
