,사업장명,인허가일자,폐업일자,좌표정보(X),좌표정보(Y)
237,노룬산시장,19701223,20300101,205663.081069121,448250.363358949
238,조양시장,19710501,20300101,205886.288968009,448517.338628068
239,중곡제일시장,19710508,20300101,207114.498872176,451296.049443757
240,파크에비뉴,20080903,20300101,206212.244268239,449577.174890763
241,신성종합시장,19770131,20300101,207747.893953282,450639.201015458
242,자양종합시장,19790716,20300101,206686.364451141,447752.463189936
243,테크노-마트21,19980323,20300101,208394.416382167,448165.279999905
244,홈플러스(주)익스프레스 중곡점,20120306,20300101,207001.872308692,450597.61492646
245,홈플러스익스프레스 중곡2점,20111005,20300101,207778.116493941,450250.255643789
246,구의 자이르네 판매시설,20210608,20300101,,
247,(주)지에스리테일GS수퍼 광진화양점,20111004,20300101,206107.775163579,449029.342177779
248,프라젠 스파,20060228,20300101,207368.624495222,447632.296040333
249,(주)이마트 자양점,20061214,20300101,206349.675048285,448396.939704285
250,커먼그라운드,20150403,20300101,205758.816662193,448768.161400623
251,한아름시장,19800407,20300101,206107.775163579,449029.342177779
252,광성시장,19800618,20300101,207098.994772766,451260.44574067
253,동서울터미널상가,19890823,20300101,208201.993320839,447967.299542306
254,현대종합상가,19901117,20300101,208644.819209521,448711.725750126
255,구의현대종합상가,19921105,20300101,208403.746065593,448490.239179557
256,프라임프라자상가,19970130,20300101,208558.286631653,448353.905156369
257,구의시장,19740209,20210127,207754.575203142,449270.23146706
258,워커힐상가,19790709,20111229,209345.941766315,449811.718207794
259,홈플러스(주) 동대문점,20031023,20300101,203356.957362754,452469.300221465
260,홈플러스익스프레스 구의2점,20120329,20300101,208261.748825555,448701.658478751
261,장안위더스빌,20110315,20300101,205423.969491537,451556.210578255
262,(주)이마트에브리데이 이문점,20210826,20300101,205396.363734301,455131.683241064
263,불로장생타워,20070509,20300101,203155.504921512,452914.607542858
264,건강백화점 동의보감,20060424,20300101,203258.377206168,452834.064124525
265,대규모점포 개설등록,20090320,20300101,205396.363734301,455131.683241064
266,전곡시장,19750905,20300101,205987.345607556,452845.284277717
267,이경시장,19740711,20300101,204881.313219146,454280.040555974
268,이문제일시장,19720712,20300101,205396.363734301,455131.683241064
269,한솔동의보감,20040722,20300101,203075.098504907,452918.836458244
270,(주)형지쇼핑 아트몰링 장안점,20050429,20300101,206325.349431713,452184.2101607
271,용두시장,19771226,20300101,202538.011840845,452901.185283908
272,동서시장,19721012,20300101,203597.856176904,453055.908738418
273,청량리현대코아,19480921,20300101,203851.375424856,453238.594217594
274,전농프라자,19781228,20300101,204082.111844228,452472.990548179
275,전농로타리시장,19740402,20300101,204970.90163598,452852.821037366
276,동부시장,19710311,20300101,205006.074911385,451814.33240199
277,이문동웰츠타워,20090320,20300101,205396.363734301,455131.683241064
278,홈플러스 익스프레스 서울회기점,20140925,20300101,204605.383860203,454565.9406212
279,서울특별시장,20161230,20300101,202186.468072494,452282.607415166
280,(주)이마트에브리데이 답십리점,20110926,20300101,204638.486386691,451699.765836365
281,노브랜드 동대문 장안점,20111228,20300101,205423.969491537,451556.210578255
282,기타대규모점포,20040209,20300101,,
283,쉐르빌쇼핑타운,20021022,20070102,206101.9138443,452155.691148899
284,(주)미도파마트,20021112,20030401,203075.098504907,452918.836458244
285,동부청과(주),20070205,20211101,203728.132135578,452778.89330743
286,장안시장,19710313,20071128,,
287,휘경시장,19740710,20080114,204881.313219146,454280.040555974
288,이문종합상가,19620312,20060302,205396.363734301,455131.683241064
289,답십리시장,19611023,20010205,205033.874040234,452322.301296488
290,미도파마트,19990126,20030401,203075.098504907,452918.836458244
291,휘경시장,20040908,20080114,204890.735006949,454315.0261032
292,주-이문종합상가,20041122,20050302,205396.363734301,455131.683241064
293,주-이문종합상가,20041122,20050302,205396.363734301,455131.683241064
294,롯데쇼핑(주) 롯데슈퍼 장안2동점,20120507,20141231,206325.349431713,452184.2101607
295,그랜드패션아울렛,19950501,20300101,186786.622461585,450297.70265223
